iter	RMSE
0	11922.42159
1	11832.42693
2	11744.06477
3	11658.99312
4	11572.55902
5	11487.54018
6	11401.30625
7	11312.92091
8	11235.82567
9	11158.07633
10	11080.78214
11	11005.99947
12	10924.06356
13	10844.14454
14	10764.90526
15	10695.08688
16	10615.71007
17	10542.19731
18	10467.69612
19	10396.34058
20	10318.75308
21	10242.66495
22	10170.62762
23	10098.88034
24	10028.25497
25	9956.025581
26	9890.811374
27	9824.85321
28	9755.624617
29	9692.523013
30	9627.574963
31	9565.880238
32	9501.514601
33	9434.409287
34	9371.429062
35	9305.38795
36	9246.368919
37	9187.768501
38	9126.419235
39	9063.607623
40	9010.695546
41	8953.246326
42	8894.683056
43	8844.177488
44	8789.706443
45	8737.772125
46	8684.98076
47	8627.543651
48	8576.92236
49	8519.716339
50	8465.721991
51	8415.632865
52	8366.674517
53	8316.57326
54	8266.226928
55	8218.070233
56	8168.752531
57	8118.118197
58	8073.767616
59	8027.227624
60	7979.514685
61	7931.098141
62	7886.462485
63	7842.657009
64	7795.630187
65	7753.049838
66	7714.852146
67	7669.675709
68	7626.736937
69	7584.816202
70	7540.292286
71	7500.573882
72	7461.109594
73	7420.080851
74	7381.110091
75	7340.436784
76	7304.62303
77	7266.207142
78	7228.422632
79	7189.891531
80	7151.810626
81	7114.286965
82	7080.834934
83	7045.396419
84	7011.140141
85	6978.064204
86	6942.177582
87	6908.285162
88	6875.23918
89	6841.572992
90	6807.581951
91	6775.353822
92	6741.333538
93	6707.3295
94	6675.942333
95	6647.028122
96	6615.368808
97	6583.75658
98	6555.740725
99	6526.734129
100	6501.241533
101	6471.386761
102	6444.59421
103	6416.45377
104	6389.204714
105	6360.826254
106	6336.024619
107	6308.432878
108	6280.846756
109	6254.93602
110	6236.428519
111	6209.66657
112	6185.726688
113	6160.984596
114	6138.035388
115	6116.63193
116	6091.319646
117	6068.133972
118	6043.763391
119	6021.101239
120	5999.290017
121	5977.079906
122	5954.376498
123	5934.807726
124	5911.922689
125	5891.589136
126	5869.046497
127	5848.116002
128	5829.953651
129	5809.967495
130	5790.424334
131	5770.37903
132	5750.366386
133	5731.147176
134	5713.072088
135	5696.797626
136	5677.397224
137	5657.483967
138	5639.969899
139	5624.961352
140	5610.254272
141	5594.654877
142	5579.752291
143	5563.56279
144	5545.536727
145	5528.92081
146	5511.629628
147	5495.895341
148	5481.661632
149	5466.329689
150	5450.104822
151	5435.049548
152	5419.429266
153	5406.109583
154	5392.232676
155	5378.57302
156	5364.565003
157	5350.532929
158	5336.243317
159	5323.054463
160	5309.616716
161	5295.883177
162	5282.512554
163	5270.825456
164	5259.525845
165	5246.957875
166	5234.9892
167	5222.607031
168	5210.114916
169	5198.759454
170	5187.210372
171	5174.983151
172	5163.945113
173	5152.355068
174	5141.550857
175	5131.795974
176	5121.617026
177	5111.754209
178	5103.12021
179	5092.906967
180	5083.368507
181	5075.702835
182	5066.067619
183	5058.312974
184	5048.416157
185	5038.974113
186	5030.675571
187	5020.930927
188	5011.773761
189	5002.372203
190	4993.88579
191	4984.448985
192	4976.210468
193	4968.061729
194	4959.612757
195	4951.412677
196	4942.996026
197	4935.224573
198	4927.572585
199	4919.710763
200	4912.610127
201	4904.971656
202	4898.767606
203	4891.138924
204	4883.278354
205	4875.802055
206	4869.77513
207	4863.724083
208	4857.111754
209	4851.82802
210	4844.842489
211	4837.687807
212	4832.708629
213	4826.214767
214	4820.042021
215	4813.101869
216	4805.923382
217	4799.454
218	4792.724569
219	4786.076934
220	4780.235962
221	4774.902312
222	4769.316705
223	4763.612003
224	4760.443412
225	4754.998094
226	4749.625727
227	4744.074331
228	4738.385548
229	4733.254279
230	4729.209496
231	4723.873728
232	4718.382979
233	4713.294939
234	4708.454266
235	4703.038188
236	4698.994092
237	4693.979595
238	4688.891266
239	4683.976348
240	4679.192434
241	4674.792884
242	4670.086249
243	4665.846198
244	4661.465834
245	4656.814349
246	4653.03889
247	4649.772812
248	4645.302431
249	4639.915427
250	4637.449519
251	4633.342699
252	4629.726658
253	4625.647224
254	4622.202909
255	4618.535018
256	4615.089121
257	4611.96926
258	4608.069448
259	4605.023114
260	4601.425016
261	4596.878077
262	4593.307591
263	4590.011678
264	4586.804815
265	4583.185115
266	4580.395976
267	4576.92261
268	4573.746364
269	4570.383427
270	4566.384871
271	4563.247447
272	4559.651323
273	4556.320771
274	4553.239261
275	4550.117493
276	4547.043049
277	4544.032298
278	4540.980123
279	4537.970361
280	4534.857238
281	4532.698226
282	4529.780924
283	4527.095847
284	4523.138719
285	4520.366261
286	4517.721216
287	4515.002149
288	4512.754062
289	4510.26379
290	4508.709708
291	4506.586237
292	4504.105513
293	4501.901035
294	4499.654488
295	4496.604991
296	4493.913947
297	4491.795129
298	4490.009057
299	4487.62078
300	4485.477305
301	4483.237088
302	4481.044081
303	4478.744092
304	4476.498506
305	4474.728871
306	4472.680538
307	4471.916275
308	4469.630114
309	4467.816896
310	4465.339577
311	4463.759566
312	4461.428375
313	4459.408844
314	4457.403925
315	4455.170597
316	4452.74055
317	4451.657344
318	4449.751039
319	4447.781501
320	4445.903425
321	4444.159805
322	4442.120953
323	4439.789562
324	4437.684625
325	4435.759696
326	4434.465599
327	4432.525602
328	4430.55219
329	4429.074304
330	4427.425765
331	4425.72491
332	4424.099171
333	4422.34947
334	4420.229373
335	4418.405312
336	4416.78209
337	4414.923793
338	4413.030387
339	4411.585108
340	4409.952341
341	4408.331373
342	4406.936539
343	4405.426076
344	4403.537578
345	4402.153861
346	4400.640638
347	4398.98905
348	4397.434885
349	4395.978437
350	4394.630721
351	4393.423182
352	4392.035877
353	4389.774666
354	4388.220746
355	4386.472426
356	4385.421697
357	4383.949819
358	4382.531217
359	4381.267146
360	4379.826477
361	4378.500354
362	4377.127274
363	4376.240354
364	4374.882039
365	4373.528806
366	4372.195046
367	4371.155764
368	4370.301738
369	4369.056599
370	4367.57314
371	4366.55743
372	4365.083689
373	4363.848011
374	4362.784854
375	4362.079776
376	4360.874516
377	4359.410258
378	4358.237873
379	4357.105288
380	4355.686953
381	4354.53486
382	4353.346731
383	4352.60653
384	4351.477527
385	4350.188851
386	4349.193226
387	4348.287423
388	4347.10024
389	4346.11897
390	4345.013763
391	4343.936756
392	4342.812371
393	4341.868308
394	4340.829844
395	4339.903464
396	4339.154403
397	4338.207789
398	4337.344873
399	4336.445333
400	4335.558968
401	4334.74893
402	4333.536757
403	4332.356619
404	4331.460499
405	4330.129133
406	4328.759563
407	4328.225038
408	4327.481679
409	4326.501523
410	4325.420928
411	4324.721513
412	4323.768347
413	4322.958849
414	4322.801614
415	4322.347418
416	4321.613246
417	4320.906732
418	4319.976333
419	4319.213817
420	4318.182403
421	4316.789894
422	4315.885321
423	4314.962051
424	4314.12301
425	4313.7158
426	4313.472405
427	4313.110974
428	4311.975855
429	4311.492856
430	4310.502964
431	4309.781458
432	4308.941952
433	4308.246385
434	4308.019994
435	4307.299779
436	4306.009014
437	4305.171592
438	4304.488019
439	4303.878067
440	4303.372035
441	4302.736103
442	4301.553926
443	4300.634157
444	4299.519743
445	4298.75541
446	4298.166273
447	4297.451019
448	4296.816984
449	4296.249071
450	4295.697406
451	4294.964572
452	4293.68594
453	4293.039471
454	4292.379488
455	4291.734883
456	4291.22044
457	4290.549286
458	4289.804539
459	4289.199144
460	4288.712559
461	4288.028813
