iter	Passed	Remaining
0	59	59802
1	60	30172
2	60	20269
3	61	15307
4	61	12330
5	62	10357
6	63	8943
7	63	7864
8	64	7060
9	64	6413
10	65	5880
11	65	5413
12	66	5034
13	66	4705
14	67	4420
15	67	4170
16	68	3949
17	68	3753
18	69	3579
19	69	3415
20	70	3273
21	70	3144
22	71	3020
23	71	2912
24	72	2812
25	72	2715
26	72	2630
27	73	2551
28	74	2478
29	74	2410
30	74	2342
31	75	2282
32	75	2225
33	76	2171
34	76	2121
35	77	2073
36	77	2022
37	78	1980
38	78	1940
39	79	1901
40	79	1865
41	80	1830
42	80	1797
43	81	1765
44	81	1730
45	82	1701
46	82	1673
47	83	1646
48	83	1621
49	83	1594
50	84	1570
51	84	1548
52	85	1523
53	85	1501
54	86	1479
55	86	1460
56	87	1441
57	87	1421
58	88	1404
59	88	1386
60	89	1370
61	89	1355
62	90	1339
63	90	1324
64	91	1310
65	91	1297
66	92	1283
67	92	1270
68	93	1258
69	93	1245
70	94	1233
71	94	1221
72	95	1208
73	95	1197
74	96	1187
75	96	1176
76	97	1164
77	97	1154
78	98	1144
79	98	1134
80	99	1125
81	99	1115
82	100	1106
83	100	1098
84	101	1089
85	101	1081
86	102	1073
87	102	1065
88	103	1057
89	103	1049
90	104	1041
91	104	1034
92	105	1026
93	105	1019
94	106	1012
95	106	1006
96	107	999
97	107	993
98	108	986
99	108	980
100	109	974
101	109	968
102	110	962
103	111	956
104	111	950
105	112	944
106	112	937
107	112	931
108	113	926
109	113	920
110	114	913
111	114	908
112	115	902
113	115	897
114	116	892
115	116	888
116	116	882
117	117	877
118	117	872
119	118	868
120	118	863
121	119	859
122	119	854
123	120	850
124	120	845
125	121	841
126	121	837
127	122	833
128	122	829
129	123	825
130	123	821
131	124	817
132	124	814
133	125	810
134	125	806
135	126	801
136	126	798
137	127	794
138	127	791
139	128	786
140	128	783
141	129	779
142	129	776
143	130	772
144	130	769
145	131	766
146	131	763
147	132	760
148	132	757
149	133	754
150	133	751
151	134	748
152	134	745
153	135	741
154	135	739
155	136	736
156	136	733
157	137	730
158	137	727
159	138	724
160	138	722
161	139	719
162	139	716
163	140	715
164	141	713
165	141	711
166	142	708
167	142	706
168	143	703
169	143	701
170	144	698
171	144	696
172	145	693
173	145	691
174	146	689
175	146	686
176	147	684
177	147	682
178	148	679
179	148	677
180	149	675
181	149	671
182	150	669
183	150	666
184	150	664
185	151	662
186	151	660
187	152	658
188	152	656
189	153	653
190	153	652
191	154	649
192	155	648
193	155	646
194	156	644
195	156	642
196	156	639
197	157	637
198	157	635
199	158	633
200	158	631
201	159	629
202	159	626
203	159	623
204	160	622
205	160	619
206	161	617
207	161	615
208	162	613
209	162	610
210	162	608
211	163	606
212	163	603
213	163	601
214	164	599
215	164	597
216	165	595
217	165	593
218	166	592
219	166	590
220	166	588
221	167	586
222	167	584
223	168	583
224	168	580
225	168	578
226	169	577
227	170	576
228	170	574
229	171	574
230	171	572
231	172	571
232	173	571
233	174	571
234	175	570
235	176	570
236	177	570
237	177	568
238	178	567
239	178	566
240	179	565
241	180	566
242	181	565
243	182	564
244	182	563
245	183	562
246	184	561
247	184	559
248	185	558
249	186	558
250	186	556
251	186	555
252	187	554
253	188	552
254	188	551
255	189	551
256	190	551
257	191	549
258	191	548
259	192	548
260	193	546
261	194	546
262	195	546
263	195	545
264	196	545
265	197	544
266	197	543
267	198	542
268	199	542
269	200	541
270	200	540
271	201	539
272	202	538
273	202	537
274	203	536
275	204	535
276	204	534
277	205	532
278	205	532
279	206	530
280	207	530
281	208	529
282	208	528
283	209	526
284	209	526
285	210	525
286	211	524
287	211	523
288	212	522
289	212	520
290	212	518
291	213	517
292	213	516
293	214	515
294	215	514
295	215	512
296	216	511
297	216	510
298	217	509
299	218	508
300	218	508
301	219	507
302	220	506
303	221	506
304	221	505
305	222	504
306	223	505
307	224	503
308	224	502
309	225	500
310	225	499
311	226	498
312	226	497
313	227	496
314	227	495
315	228	494
316	229	493
317	229	492
318	230	491
319	230	490
320	231	489
321	232	488
322	232	487
323	233	486
324	234	486
325	234	485
326	235	485
327	236	485
328	237	484
329	238	484
330	239	483
331	239	482
332	240	481
333	241	481
334	241	479
335	242	479
336	243	478
337	243	477
338	244	476
339	245	475
340	246	475
341	247	475
342	248	475
343	248	473
344	249	472
345	249	472
346	250	471
347	251	471
348	252	471
349	253	470
350	254	469
351	254	469
352	255	468
353	256	467
354	257	466
355	257	466
356	258	466
357	259	465
358	260	464
359	260	463
360	261	463
361	262	463
362	263	462
363	264	462
364	265	461
365	266	460
366	266	459
367	267	458
368	267	458
369	268	457
370	268	456
371	270	455
372	270	455
373	271	454
374	271	452
375	272	451
376	272	450
377	273	449
378	273	448
379	274	447
380	274	446
381	275	445
382	275	443
383	275	442
384	276	441
385	276	440
386	277	439
387	277	438
388	278	436
389	278	435
390	279	434
391	279	433
392	280	432
393	280	431
394	281	430
395	281	429
396	282	428
397	282	427
398	283	426
399	283	425
400	284	424
401	284	423
402	285	422
403	285	421
404	286	420
405	286	419
406	287	418
407	287	417
408	288	416
